build_year,build_year_cat,building_state,facades,garden,living_area,locality_name,number_bedrooms,postal_code,price,property_type,province,swimming_pool,terrace
,,New,2.0,0,106.0,Ieper,2.0,8900.0,408250.0,apartment,West Flanders,0,1.0
2006.0,2000s,Normal,,0,80.0,Deurne,2.0,2100.0,266000.0,apartment,Antwerp,0,1.0
,,New,4.0,0,88.0,Willebroek,2.0,2830.0,280000.0,apartment,Antwerp,0,1.0
2007.0,2000s,nan,3.0,1,152.0,Roeselare,3.0,8800.0,399000.0,residence,West Flanders,0,1.0
,,New,,0,144.0,Fernelmont,3.0,5380.0,475000.0,apartment,Namur,0,1.0
1964.0,1960s,Normal,,0,98.0,Liege,2.0,4000.0,250000.0,apartment,Liège,0,0.0
,,New,2.0,0,122.0,Oudenburg,2.0,8460.0,312000.0,apartment,West Flanders,0,1.0
1974.0,1970s,Normal,2.0,1,274.0,Kuurne,5.0,8520.0,299000.0,residence,West Flanders,0,1.0
,,To renovate,2.0,1,110.0,Modave,2.0,4577.0,60000.0,ground,Liège,1,1.0
1897.0,1800s,Normal,2.0,0,57.0,Sint-Gillis,1.0,1060.0,350000.0,apartment,Brussels Capital Region,0,0.0
1931.0,1930s,To renovate,,1,165.0,Houffalize,3.0,6660.0,130000.0,residence,Luxembourg,0,0.0
,,nan,,0,,Mons,,7000.0,275000.0,nan,Hainaut,0,
1970.0,1970s,Normal,4.0,1,310.0,Lasne,4.0,1380.0,895000.0,villa,Walloon Brabant,1,1.0
,,nan,,0,103.0,Koksijde,2.0,8670.0,536000.0,apartment,West Flanders,0,1.0
,,New,3.0,1,97.0,Ronse,2.0,9600.0,242000.0,apartment,East Flanders,0,1.0
2025.0,2020s,New,3.0,1,138.0,Oostakker,3.0,9041.0,480000.0,apartment,East Flanders,0,1.0
1978.0,1970s,Normal,2.0,0,75.0,Mechelen,2.0,2800.0,219000.0,apartment,Antwerp,0,1.0
2006.0,2000s,Normal,,0,96.0,Sint-Niklaas,2.0,9100.0,325000.0,apartment,East Flanders,0,1.0
,,Normal,2.0,0,225.0,Tubize,4.0,1480.0,465000.0,mixed,Walloon Brabant,0,1.0
,,New,4.0,0,88.0,Kapellen,2.0,2950.0,303000.0,apartment,Antwerp,0,1.0
,,New,4.0,0,120.0,Liege,2.0,4000.0,395000.0,apartment,Liège,0,1.0
,,New,,0,144.0,Oudergem,3.0,1160.0,975000.0,apartment,Brussels Capital Region,0,1.0
1940.0,1940s,nan,2.0,1,111.0,Meulebeke,5.0,8760.0,269000.0,residence,West Flanders,0,1.0
1930.0,1930s,Normal,2.0,0,115.0,Kluisbergen,2.0,9690.0,209000.0,residence,East Flanders,0,0.0
2025.0,2020s,nan,3.0,1,,Veurne,3.0,8630.0,423335.0,residence,West Flanders,0,0.0
2000.0,2000s,Excellent,4.0,1,160.0,Durbuy,4.0,6940.0,595000.0,residence,Luxembourg,1,1.0
1983.0,1980s,To renovate,4.0,1,125.0,Merelbeke,3.0,9820.0,449000.0,residence,East Flanders,0,1.0
1977.0,1970s,To renovate,4.0,1,191.0,Beauraing,3.0,5570.0,369000.0,residence,Namur,0,1.0
1933.0,1930s,Normal,3.0,1,101.0,Schaarbeek,1.0,1030.0,285000.0,apartment,Brussels Capital Region,0,0.0
,,New,2.0,1,143.0,Kortrijk,3.0,8500.0,339500.0,residence,West Flanders,0,1.0
,,To renovate,3.0,1,100.0,Flémalle,3.0,4400.0,139000.0,residence,Liège,0,0.0
,,New,4.0,0,139.0,Beverst,3.0,3740.0,538896.0,apartment,Limburg,0,1.0
1996.0,1990s,nan,,0,56.0,Koksijde,,8670.0,255000.0,apartment,West Flanders,0,0.0
2023.0,2020s,Excellent,,1,212.0,Merelbeke,5.0,9820.0,649000.0,residence,East Flanders,0,1.0
,,New,4.0,1,185.0,Perwez,3.0,1360.0,457231.0,residence,Walloon Brabant,0,
1972.0,1970s,Excellent,,0,85.0,Knokke,2.0,8300.0,660000.0,apartment,West Flanders,0,1.0
1965.0,1960s,Normal,,0,74.0,Anderlecht,2.0,1070.0,209000.0,apartment,Brussels Capital Region,0,1.0
2023.0,2020s,nan,,0,63.0,Barvaux-sur-Ourthe,1.0,6940.0,174600.0,apartment,Luxembourg,0,1.0
,,nan,,1,,Spa,,4900.0,448500.0,apartment,Liège,0,1.0
1973.0,1970s,Normal,,0,65.0,Middelkerke,2.0,8430.0,255000.0,apartment,West Flanders,0,1.0
1979.0,1970s,Excellent,2.0,0,260.0,Roeselare,3.0,8800.0,290000.0,residence,West Flanders,0,0.0
,,New,4.0,0,116.0,Namur,2.0,5000.0,599000.0,apartment,Namur,0,1.0
1900.0,1900s,Normal,4.0,1,256.0,Bièvre,3.0,5555.0,325000.0,cottage,Namur,0,1.0
,,Normal,3.0,0,121.0,Angleur,2.0,4031.0,195000.0,residence,Liège,0,0.0
1966.0,1960s,nan,2.0,0,67.0,Ukkel,1.0,1180.0,285000.0,apartment,Brussels Capital Region,0,1.0
,,nan,,0,,Braine-l'Alleud,,1420.0,491000.0,nan,Walloon Brabant,0,
,,nan,4.0,0,84.0,Namur,2.0,5000.0,365000.0,apartment,Namur,0,1.0
2025.0,2020s,New,3.0,1,180.0,Olsene,3.0,9870.0,515000.0,residence,East Flanders,0,1.0
,,nan,3.0,1,91.0,Gilly,2.0,6060.0,178000.0,duplex,Hainaut,0,0.0
,,nan,,0,,Aalst,,9300.0,442774.0,nan,East Flanders,0,
1996.0,1990s,Excellent,4.0,1,214.0,Oosterzele,4.0,9860.0,499000.0,residence,East Flanders,0,1.0
1874.0,1800s,Normal,4.0,1,143.0,Libin,4.0,6890.0,240000.0,residence,Luxembourg,0,1.0
,,New,2.0,0,126.0,Oostkamp,2.0,8020.0,459000.0,apartment,West Flanders,0,1.0
,,nan,,0,,Spa,,4900.0,258900.0,nan,Liège,0,
2025.0,2020s,Excellent,3.0,1,,Roosdaal,3.0,1760.0,336050.0,residence,Flemish Brabant,0,
2025.0,2020s,nan,,1,87.0,Marche-en-Famenne,2.0,6900.0,252000.0,apartment,Luxembourg,0,1.0
,,To renovate,3.0,0,163.0,Liege,4.0,4020.0,249000.0,mixed,Liège,0,0.0
,,New,,0,,Dave,3.0,5100.0,359000.0,apartment,Namur,0,1.0
1956.0,1950s,Normal,3.0,1,134.0,Sint-Truiden,2.0,3800.0,401600.0,residence,Limburg,0,1.0
,,nan,2.0,1,102.0,Liege,2.0,4000.0,318600.0,apartment,Liège,0,1.0
,,nan,2.0,0,79.0,Bressoux,2.0,4020.0,147500.0,residence,Liège,0,0.0
,,Normal,4.0,1,59.0,Hastière,2.0,5540.0,119000.0,chalet,Namur,0,1.0
,,Normal,,1,223.0,Herzele,5.0,9550.0,249000.0,residence,East Flanders,0,1.0
2025.0,2020s,New,2.0,1,81.0,Nevele,2.0,9850.0,401500.0,apartment,East Flanders,0,1.0
1953.0,1950s,nan,2.0,1,225.0,Hasselt,3.0,3500.0,480000.0,residence,Limburg,0,1.0
,,nan,,0,,Halle,,1500.0,295000.0,nan,Flemish Brabant,0,
1950.0,1950s,Normal,3.0,1,150.0,Limelette,3.0,1342.0,375000.0,residence,Walloon Brabant,0,1.0
,,nan,,0,,Antwerp,,2050.0,320000.0,nan,Antwerp,0,
2023.0,2020s,Normal,3.0,0,158.0,Beringen,3.0,3580.0,429000.0,residence,Limburg,0,0.0
,,New,3.0,1,175.0,Champion,4.0,5020.0,399000.0,residence,Namur,0,1.0
,,Normal,2.0,1,133.0,Sint-Gillis-Waas,2.0,9170.0,235000.0,residence,East Flanders,0,1.0
,,nan,,1,103.0,Mons,2.0,7000.0,195000.0,residence,Hainaut,0,1.0
,,nan,,0,78.0,Liege,1.0,4020.0,260000.0,penthouse,Liège,0,1.0
1972.0,1970s,nan,4.0,1,145.0,Zonhoven,4.0,3520.0,349000.0,residence,Limburg,0,1.0
2024.0,2020s,New,,1,311.0,Zulte,6.0,9870.0,1085000.0,residence,East Flanders,0,0.0
,,nan,,0,,Boncelles,,4100.0,299000.0,nan,Liège,0,
,,New,2.0,0,112.0,Ieper,2.0,8900.0,419750.0,apartment,West Flanders,0,1.0
,,Normal,,0,71.0,Deurne,2.0,2100.0,199000.0,apartment,Antwerp,0,1.0
,,Normal,,0,332.0,Gouvy,6.0,6670.0,320000.0,residence,Luxembourg,0,0.0
2024.0,2020s,New,,0,91.0,Oudergem,2.0,1160.0,545000.0,apartment,Brussels Capital Region,0,1.0
1932.0,1930s,Normal,3.0,1,271.0,Ham,3.0,3945.0,449000.0,residence,Limburg,0,1.0
1993.0,1990s,Excellent,4.0,1,343.0,Maldegem,4.0,9990.0,595000.0,residence,East Flanders,0,1.0
,,New,4.0,1,86.0,Lier,2.0,2500.0,249900.0,penthouse,Antwerp,0,1.0
1920.0,1920s,Fully renovated,2.0,1,238.0,Brussels,6.0,1000.0,895000.0,residence,Brussels Capital Region,0,1.0
,,New,,0,68.0,Fernelmont,1.0,5380.0,249000.0,apartment,Namur,0,1.0
2001.0,2000s,nan,4.0,1,65.0,Vresse-sur-Semois,1.0,5550.0,295000.0,residence,Namur,0,1.0
2021.0,2020s,Excellent,4.0,1,231.0,Dilsen-Stokkem,3.0,3650.0,829000.0,residence,Limburg,0,1.0
1995.0,1990s,nan,4.0,1,437.0,Bonheiden,5.0,2820.0,825000.0,residence,Antwerp,0,1.0
,,New,4.0,0,97.0,Namur,2.0,5000.0,426000.0,apartment,Namur,0,1.0
,,To restore,3.0,1,98.0,Attert,3.0,6717.0,125000.0,residence,Luxembourg,0,1.0
,,New,2.0,0,71.0,Leopoldsburg,1.0,3970.0,220000.0,apartment,Limburg,0,1.0
,,nan,,0,,Zonhoven,,3520.0,415360.0,nan,Limburg,0,
1957.0,1950s,Normal,2.0,1,135.0,Marche-en-Famenne,3.0,6900.0,249000.0,residence,Luxembourg,0,1.0
1962.0,1960s,To renovate,4.0,1,220.0,Onze-Lieve-Vrouw-Waver,3.0,2861.0,389000.0,residence,Antwerp,0,1.0
1974.0,1970s,To renovate,,0,102.0,Neerpelt,2.0,3910.0,165000.0,apartment,Limburg,0,0.0
,,New,4.0,0,75.0,Liege,1.0,4000.0,221000.0,apartment,Liège,0,0.0
,,New,4.0,1,73.0,Antwerp,1.0,2050.0,257500.0,apartment,Antwerp,0,1.0
,,New,,0,84.0,Welkenraedt,2.0,4840.0,230900.0,apartment,Liège,0,1.0
1975.0,1970s,To renovate,2.0,0,77.0,Antwerp,2.0,2018.0,245000.0,apartment,Antwerp,0,1.0
,,New,,0,113.0,Eupen,2.0,4700.0,271471.0,apartment,Liège,0,1.0
,,New,2.0,0,145.0,Oostende,2.0,8400.0,895500.0,apartment,West Flanders,0,1.0
,,New,,1,92.0,Dilsen-Stokkem,2.0,3650.0,267642.0,apartment,Limburg,0,1.0
,,New,4.0,0,57.0,Fléron,1.0,4620.0,186000.0,apartment,Liège,0,1.0
2025.0,2020s,New,4.0,1,221.0,Wavre,4.0,1300.0,895000.0,villa,Walloon Brabant,0,1.0
,,Normal,,0,182.0,Erembodegem,4.0,9320.0,295000.0,duplex,East Flanders,0,1.0
1976.0,1970s,nan,3.0,1,182.0,Hasselt,3.0,3500.0,319000.0,residence,Limburg,0,1.0
,,nan,2.0,0,171.0,Vorst,3.0,1190.0,695000.0,apartment,Brussels Capital Region,0,1.0
,,New,3.0,0,94.0,Vosselaar,2.0,2350.0,395000.0,apartment,Antwerp,0,1.0
1965.0,1960s,nan,,0,88.0,Ganshoren,2.0,1083.0,254000.0,apartment,Brussels Capital Region,0,1.0
2017.0,2010s,nan,4.0,1,320.0,Namur,4.0,5000.0,875000.0,villa,Namur,1,1.0
2008.0,2000s,Excellent,2.0,1,122.0,Lille,4.0,2275.0,399000.0,residence,Antwerp,0,1.0
,,Normal,3.0,1,150.0,Charneux,4.0,4654.0,495000.0,residence,Liège,0,1.0
,,New,,0,79.0,Seraing,2.0,4100.0,230000.0,apartment,Liège,0,1.0
,,nan,,0,,Iddergem,,9472.0,289000.0,nan,East Flanders,0,
,,New,,0,78.0,Namur,2.0,5000.0,240471.0,apartment,Namur,0,1.0
1870.0,1800s,Excellent,4.0,1,600.0,Libin,14.0,6890.0,2300000.0,residence,Luxembourg,0,1.0
,,nan,2.0,1,216.0,Semmerzake,3.0,9890.0,590000.0,residence,East Flanders,0,0.0
,,To renovate,3.0,0,33.0,Jette,,1090.0,115000.0,studio,Brussels Capital Region,0,1.0
1975.0,1970s,Normal,2.0,0,94.0,Deinze,1.0,9800.0,219000.0,apartment,East Flanders,0,
2022.0,2020s,Excellent,3.0,1,89.0,Tintigny,2.0,6730.0,265000.0,apartment,Luxembourg,0,0.0
,,nan,,0,,Geel,,2440.0,223000.0,nan,Antwerp,0,
,,Normal,,0,426.0,Halle,7.0,1500.0,590000.0,residence,Flemish Brabant,0,0.0
